,expanded_query,title,abstract,expanded_score,feedback_adjusted_score,cosine_similarity,source_query,overlap_count
What are the latest approaches to causal inference in data science?,"What are the latest approaches to causal inference in data science? - Propensity score matching
- Instrumental variables
- Difference-in-differences
- Granger causality
- Bayesian networks
- Mediation analysis","Causality, Causal Discovery, and Causal Inference in Structural
  Engineering","  Much of our experiments are designed to uncover the cause(s) and effect(s)
behind a data generating mechanism (i.e., phenomenon) we happen to be
interested in. Uncovering such relationships allows us to identify the true
working of a phenomenon and, most importantly, articulate a model that may
enable us to further explore the phenomenon on hand and/or allow us to predict
it accurately. Fundamentally, such models are likely to be derived via a causal
approach (as opposed to an observational or empirical mean). In this approach,
causal discovery is required to create a causal model, which can then be
applied to infer the influence of interventions, and answer any hypothetical
questions (i.e., in the form of What ifs? Etc.) that we might have. This paper
builds a case for causal discovery and causal inference and contrasts that
against traditional machine learning approaches; all from a civil and
structural engineering perspective. More specifically, this paper outlines the
key principles of causality and the most commonly used algorithms and packages
for causal discovery and causal inference. Finally, this paper also presents a
series of examples and case studies of how causal concepts can be adopted for
our domain.
",,6,0.659995914,feedback_adjusted,
How is AI being used to optimize supply chain management?,"How is AI being used to optimize supply chain management? - Machine learning
- Predictive analytics
- Inventory management
- Demand forecasting
- Transportation optimization
- Vendor management
- Risk mitigation","Optimizing Inventory Routing: A Decision-Focused Learning Approach using
  Neural Networks","  Inventory Routing Problem (IRP) is a crucial challenge in supply chain
management as it involves optimizing efficient route selection while
considering the uncertainty of inventory demand planning. To solve IRPs,
usually a two-stage approach is employed, where demand is predicted using
machine learning techniques first, and then an optimization algorithm is used
to minimize routing costs. Our experiment shows machine learning models fall
short of achieving perfect accuracy because inventory levels are influenced by
the dynamic business environment, which, in turn, affects the optimization
problem in the next stage, resulting in sub-optimal decisions. In this paper,
we formulate and propose a decision-focused learning-based approach to solving
real-world IRPs. This approach directly integrates inventory prediction and
routing optimization within an end-to-end system potentially ensuring a robust
supply chain strategy.
",9,9.333333333,0.579098225,overlap,
How is AI being used to optimize supply chain management?,"How is AI being used to optimize supply chain management? - Machine learning
- Automation
- Predictive analytics
- Inventory optimization
- Demand forecasting
- Logistics optimization
- Data-driven decision making
- Artificial intelligence applications in supply chain","Implementing Reinforcement Learning Algorithms in Retail Supply Chains
  with OpenAI Gym Toolkit","  From cutting costs to improving customer experience, forecasting is the crux
of retail supply chain management (SCM) and the key to better supply chain
performance. Several retailers are using AI/ML models to gather datasets and
provide forecast guidance in applications such as Cognitive Demand Forecasting,
Product End-of-Life, Forecasting, and Demand Integrated Product Flow. Early
work in these areas looked at classical algorithms to improve on a gamut of
challenges such as network flow and graphs. But the recent disruptions have
made it critical for supply chains to have the resiliency to handle unexpected
events. The biggest challenge lies in matching supply with demand.
  Reinforcement Learning (RL) with its ability to train systems to respond to
unforeseen environments, is being increasingly adopted in SCM to improve
forecast accuracy, solve supply chain optimization challenges, and train
systems to respond to unforeseen circumstances. Companies like UPS and Amazon
have developed RL algorithms to define winning AI strategies and keep up with
rising consumer delivery expectations. While there are many ways to build RL
algorithms for supply chain use cases, the OpenAI Gym toolkit is becoming the
preferred choice because of the robust framework for event-driven simulations.
  This white paper explores the application of RL in supply chain forecasting
and describes how to build suitable RL models and algorithms by using the
OpenAI Gym toolkit.
",9.333333333,9.333333333,0.629852414,overlap,
How is AI being used to optimize supply chain management?,"How is AI being used to optimize supply chain management? - Machine learning
- Predictive analytics
- Intelligent automation
- Logistics optimization
- Demand forecasting
- Inventory optimization","Artificial Intelligence in Reverse Supply Chain Management: The State of
  the Art","  Product take-back legislation forces manufacturers to bear the costs of
collection and disposal of products that have reached the end of their useful
lives. In order to reduce these costs, manufacturers can consider reuse,
remanufacturing and/or recycling of components as an alternative to disposal.
The implementation of such alternatives usually requires an appropriate reverse
supply chain management. With the concepts of reverse supply chain are gaining
popularity in practice, the use of artificial intelligence approaches in these
areas is also becoming popular. As a result, the purpose of this paper is to
give an overview of the recent publications concerning the application of
artificial intelligence techniques to reverse supply chain with emphasis on
certain types of product returns.
",8.333333333,,0.579616427,expanded,
How is AI being used to optimize supply chain management?,"How is AI being used to optimize supply chain management? - Predictive analytics
- Machine learning algorithms
- Inventory management
- Demand forecasting
- Automation technologies","Big Data - Supply Chain Management Framework for Forecasting: Data
  Preprocessing and Machine Learning Techniques","  This article intends to systematically identify and comparatively analyze
state-of-the-art supply chain (SC) forecasting strategies and technologies. A
novel framework has been proposed incorporating Big Data Analytics in SC
Management (problem identification, data sources, exploratory data analysis,
machine-learning model training, hyperparameter tuning, performance evaluation,
and optimization), forecasting effects on human-workforce, inventory, and
overall SC. Initially, the need to collect data according to SC strategy and
how to collect them has been discussed. The article discusses the need for
different types of forecasting according to the period or SC objective. The SC
KPIs and the error-measurement systems have been recommended to optimize the
top-performing model. The adverse effects of phantom inventory on forecasting
and the dependence of managerial decisions on the SC KPIs for determining model
performance parameters and improving operations management, transparency, and
planning efficiency have been illustrated. The cyclic connection within the
framework introduces preprocessing optimization based on the post-process KPIs,
optimizing the overall control process (inventory management, workforce
determination, cost, production and capacity planning). The contribution of
this research lies in the standard SC process framework proposal, recommended
forecasting data analysis, forecasting effects on SC performance, machine
learning algorithms optimization followed, and in shedding light on future
research.
",8.333333333,,0.52016753,expanded,
How is AI being used to optimize supply chain management?,"How is AI being used to optimize supply chain management? - Machine learning
- Predictive analytics
- Inventory optimization
- Demand forecasting
- Supplier management
- Logistics optimization
- Automation
- Decision support systems
- Artificial intelligence applications","Evaluation of key impression of resilient supply chain based on
  artificial intelligence of things (AIoT)","  In recent years, the high complexity of the business environment, dynamism
and environmental change, uncertainty and concepts such as globalization and
increasing competition of organizations in the national and international arena
have caused many changes in the equations governing the supply chain. In this
case, supply chain organizations must always be prepared for a variety of
challenges and dynamic environmental changes. One of the effective solutions to
face these challenges is to create a resilient supply chain. Resilient supply
chain is able to overcome uncertainties and disruptions in the business
environment. The competitive advantage of this supply chain does not depend
only on low costs, high quality, reduced latency and high level of service.
Rather, it has the ability of the chain to avoid catastrophes and overcome
critical situations, and this is the resilience of the supply chain. AI and IoT
technologies and their combination, called AIoT, have played a key role in
improving supply chain performance in recent years and can therefore increase
supply chain resilience. For this reason, in this study, an attempt was made to
better understand the impact of these technologies on equity by examining the
dimensions and components of the Artificial Intelligence of Things (AIoT)-based
supply chain. Finally, using nonlinear fuzzy decision making method, the most
important components of the impact on the resilient smart supply chain are
determined. Understanding this assessment can help empower the smart supply
chain.
",8,,0.639692187,expanded,
How is AI being used to optimize supply chain management?,"How is AI being used to optimize supply chain management? - Machine learning
- Predictive analytics
- Inventory management
- Logistics
- Artificial intelligence applications
- Demand forecasting","Comparing Deep Reinforcement Learning Algorithms in Two-Echelon Supply
  Chains","  In this study, we analyze and compare the performance of state-of-the-art
deep reinforcement learning algorithms for solving the supply chain inventory
management problem. This complex sequential decision-making problem consists of
determining the optimal quantity of products to be produced and shipped across
different warehouses over a given time horizon. In particular, we present a
mathematical formulation of a two-echelon supply chain environment with
stochastic and seasonal demand, which allows managing an arbitrary number of
warehouses and product types. Through a rich set of numerical experiments, we
compare the performance of different deep reinforcement learning algorithms
under various supply chain structures, topologies, demands, capacities, and
costs. The results of the experimental plan indicate that deep reinforcement
learning algorithms outperform traditional inventory management strategies,
such as the static (s, Q)-policy. Furthermore, this study provides detailed
insight into the design and development of an open-source software library that
provides a customizable environment for solving the supply chain inventory
management problem using a wide range of data-driven approaches.
",,8.666666667,0.597366452,feedback_adjusted,
How is AI being used to optimize supply chain management?,"How is AI being used to optimize supply chain management? - Machine learning algorithms
- Predictive analytics
- Inventory management
- Demand forecasting
- Autonomous vehicles
- Robotics and automation
- Real-time decision-making
- Vendor management
- Data-driven insights","Learning General Inventory Management Policy for Large Supply Chain
  Network","  Inventory management in warehouses directly affects profits made by
manufacturers. Particularly, large manufacturers produce a very large variety
of products that are handled by a significantly large number of retailers. In
such a case, the computational complexity of classical inventory management
algorithms is inordinately large. In recent years, learning-based approaches
have become popular for addressing such problems. However, previous studies
have not been managed systems where both the number of products and retailers
are large. This study proposes a reinforcement learning-based warehouse
inventory management algorithm that can be used for supply chain systems where
both the number of products and retailers are large. To solve the computational
problem of handling large systems, we provide a means of approximate simulation
of the system in the training phase. Our experiments on both real and
artificial data demonstrate that our algorithm with approximated simulation can
successfully handle large supply chain networks.
",,8.666666667,0.577060997,feedback_adjusted,
How is AI being used to optimize supply chain management?,"How is AI being used to optimize supply chain management? - Machine learning
- Predictive modeling
- Inventory management
- Transportation optimization
- Demand forecasting",Deep Controlled Learning for Inventory Control,"  Problem Definition: Are traditional deep reinforcement learning (DRL)
algorithms, developed for a broad range of purposes including game-play and
robotics, the most suitable machine learning algorithms for applications in
inventory control? To what extent would DRL algorithms tailored to the unique
characteristics of inventory control problems provide superior performance
compared to DRL and traditional benchmarks? Methodology/results: We propose and
study Deep Controlled Learning (DCL), a new DRL framework based on approximate
policy iteration specifically designed to tackle inventory problems.
Comparative evaluations reveal that DCL outperforms existing state-of-the-art
heuristics in lost sales inventory control, perishable inventory systems, and
inventory systems with random lead times, achieving lower average costs across
all test instances and maintaining an optimality gap of no more than 0.1\%.
Notably, the same hyperparameter set is utilized across all experiments,
underscoring the robustness and generalizability of the proposed method.
Managerial implications: These substantial performance and robustness
improvements pave the way for the effective application of tailored DRL
algorithms to inventory management problems, empowering decision-makers to
optimize stock levels, minimize costs, and enhance responsiveness across
various industries.
",,9,0.529778242,feedback_adjusted,
What are novel techniques for feature engineering in time series data?,"What are novel techniques for feature engineering in time series data? - Time series analysis
- Feature extraction methods
- Data pre-processing techniques
- Temporal data feature engineering
- Feature selection algorithms",Feature Programming for Multivariate Time Series Prediction,"  We introduce the concept of programmable feature engineering for time series
modeling and propose a feature programming framework. This framework generates
large amounts of predictive features for noisy multivariate time series while
allowing users to incorporate their inductive bias with minimal effort. The key
motivation of our framework is to view any multivariate time series as a
cumulative sum of fine-grained trajectory increments, with each increment
governed by a novel spin-gas dynamical Ising model. This fine-grained
perspective motivates the development of a parsimonious set of operators that
summarize multivariate time series in an abstract fashion, serving as the
foundation for large-scale automated feature engineering. Numerically, we
validate the efficacy of our method on several synthetic and real-world noisy
time series datasets.
",8.666666667,8.666666667,0.712226152,overlap,
What are novel techniques for feature engineering in time series data?,"What are novel techniques for feature engineering in time series data? - Time series analysis
- Feature extraction methods
- Time series forecasting 
- Machine learning algorithms 
- Statistical techniques 
- Dimensionality reduction 
- Autoencoders 
- Neural network architectures",AutoFITS: Automatic Feature Engineering for Irregular Time Series,"  A time series represents a set of observations collected over time.
Typically, these observations are captured with a uniform sampling frequency
(e.g. daily). When data points are observed in uneven time intervals the time
series is referred to as irregular or intermittent. In such scenarios, the most
common solution is to reconstruct the time series to make it regular, thus
removing its intermittency. We hypothesise that, in irregular time series, the
time at which each observation is collected may be helpful to summarise the
dynamics of the data and improve forecasting performance. We study this idea by
developing a novel automatic feature engineering framework, which focuses on
extracting information from this point of view, i.e., when each instance is
collected. We study how valuable this information is by integrating it in a
time series forecasting workflow and investigate how it compares to or
complements state-of-the-art methods for regular time series forecasting. In
the end, we contribute by providing a novel framework that tackles feature
engineering for time series from an angle previously vastly ignored. We show
that our approach has the potential to further extract more information about
time series that significantly improves forecasting performance.
",8.666666667,8.666666667,0.669767976,overlap,
What are novel techniques for feature engineering in time series data?,"What are novel techniques for feature engineering in time series data? - Time series forecasting
- Feature extraction
- Machine learning models 
- Feature selection
- Temporal data mining 
- Dimensionality reduction 
- Signal processing 
- Lag features 
- Time series decomposition 
- Autoencoders 
- Transfer learning",Forecasting large collections of time series: feature-based methods,"  In economics and many other forecasting domains, the real world problems are
too complex for a single model that assumes a specific data generation process.
The forecasting performance of different methods changes depending on the
nature of the time series. When forecasting large collections of time series,
two lines of approaches have been developed using time series features, namely
feature-based model selection and feature-based model combination. This chapter
discusses the state-of-the-art feature-based methods, with reference to
open-source software implementations.
",7.333333333,,0.647257805,expanded,
What are novel techniques for feature engineering in time series data?,"What are novel techniques for feature engineering in time series data? - Time series data preprocessing
- Advanced feature engineering methods
- Temporal feature extraction
- Time-dependent feature creation
- Feature selection in time series analysis",catch22: CAnonical Time-series CHaracteristics,"  Capturing the dynamical properties of time series concisely as interpretable
feature vectors can enable efficient clustering and classification for
time-series applications across science and industry. Selecting an appropriate
feature-based representation of time series for a given application can be
achieved through systematic comparison across a comprehensive time-series
feature library, such as those in the hctsa toolbox. However, this approach is
computationally expensive and involves evaluating many similar features,
limiting the widespread adoption of feature-based representations of time
series for real-world applications. In this work, we introduce a method to
infer small sets of time-series features that (i) exhibit strong classification
performance across a given collection of time-series problems, and (ii) are
minimally redundant. Applying our method to a set of 93 time-series
classification datasets (containing over 147000 time series) and using a
filtered version of the hctsa feature library (4791 features), we introduce a
generically useful set of 22 CAnonical Time-series CHaracteristics, catch22.
This dimensionality reduction, from 4791 to 22, is associated with an
approximately 1000-fold reduction in computation time and near linear scaling
with time-series length, despite an average reduction in classification
accuracy of just 7%. catch22 captures a diverse and interpretable signature of
time series in terms of their properties, including linear and non-linear
autocorrelation, successive differences, value distributions and outliers, and
fluctuation scaling properties. We provide an efficient implementation of
catch22, accessible from many programming environments, that facilitates
feature-based time-series analysis for scientific, industrial, financial and
medical applications using a common language of interpretable time-series
properties.
",7,,0.669907689,expanded,
What are novel techniques for feature engineering in time series data?,"What are novel techniques for feature engineering in time series data? - Time series analysis
- Feature extraction methods
- Machine learning algorithms
- Signal processing techniques
- Temporal data preprocessing",An Empirical Evaluation of Time-Series Feature Sets,"  Solving time-series problems with features has been rising in popularity due
to the availability of software for feature extraction. Feature-based
time-series analysis can now be performed using many different feature sets,
including hctsa (7730 features: Matlab), feasts (42 features: R), tsfeatures
(63 features: R), Kats (40 features: Python), tsfresh (up to 1558 features:
Python), TSFEL (390 features: Python), and the C-coded catch22 (22 features:
Matlab, R, Python, and Julia). There is substantial overlap in the types of
methods included in these sets (e.g., properties of the autocorrelation
function and Fourier power spectrum), but they are yet to be systematically
compared. Here we compare these seven sets on computational speed, assess the
redundancy of features contained in each, and evaluate the overlap and
redundancy between them. We take an empirical approach to feature similarity
based on outputs across a diverse set of real-world and simulated time series.
We find that feature sets vary across three orders of magnitude in their
computation time per feature on a laptop for a 1000-sample series, from the
fastest sets catch22 and TSFEL (~0.1ms per feature) to tsfeatures (~3s per
feature). Using PCA to evaluate feature redundancy within each set, we find the
highest within-set redundancy for TSFEL and tsfresh. For example, in TSFEL, 90%
of the variance across 390 features can be captured with just four PCs.
Finally, we introduce a metric for quantifying overlap between pairs of feature
sets, which indicates substantial overlap. We found that the largest feature
set, hctsa, is the most comprehensive, and that tsfresh is the most
distinctive, due to its incorporation of many low-level Fourier coefficients.
Our results provide empirical understanding of the differences between existing
feature sets, information that can be used to better tailor feature sets to
their applications.
",6.666666667,,0.618660927,expanded,
What are novel techniques for feature engineering in time series data?,"What are novel techniques for feature engineering in time series data? - Time series analysis
- Signal processing
- Temporal data mining
- Machine learning
- Feature extraction techniques",VEST: Automatic Feature Engineering for Forecasting,"  Time series forecasting is a challenging task with applications in a wide
range of domains. Auto-regression is one of the most common approaches to
address these problems. Accordingly, observations are modelled by multiple
regression using their past lags as predictor variables. We investigate the
extension of auto-regressive processes using statistics which summarise the
recent past dynamics of time series. The result of our research is a novel
framework called VEST, designed to perform feature engineering using univariate
and numeric time series automatically. The proposed approach works in three
main steps. First, recent observations are mapped onto different
representations. Second, each representation is summarised by statistical
functions. Finally, a filter is applied for feature selection. We discovered
that combining the features generated by VEST with auto-regression
significantly improves forecasting performance. We provide evidence using 90
time series with high sampling frequency. VEST is publicly available online.
",,8.666666667,0.612134337,feedback_adjusted,
What are novel techniques for feature engineering in time series data?,"What are novel techniques for feature engineering in time series data? - Time series forecasting
- Machine learning models
- Temporal patterns
- Signal processing
- Dimensionality reduction
- Seasonality detection
- Trend analysis","Automatic Feature Engineering for Time Series Classification: Evaluation
  and Discussion","  Time Series Classification (TSC) has received much attention in the past two
decades and is still a crucial and challenging problem in data science and
knowledge engineering. Indeed, along with the increasing availability of time
series data, many TSC algorithms have been suggested by the research community
in the literature. Besides state-of-the-art methods based on similarity
measures, intervals, shapelets, dictionaries, deep learning methods or hybrid
ensemble methods, several tools for extracting unsupervised informative summary
statistics, aka features, from time series have been designed in the recent
years. Originally designed for descriptive analysis and visualization of time
series with informative and interpretable features, very few of these feature
engineering tools have been benchmarked for TSC problems and compared with
state-of-the-art TSC algorithms in terms of predictive performance. In this
article, we aim at filling this gap and propose a simple TSC process to
evaluate the potential predictive performance of the feature sets obtained with
existing feature engineering tools. Thus, we present an empirical study of 11
feature engineering tools branched with 9 supervised classifiers over 112 time
series data sets. The analysis of the results of more than 10000 learning
experiments indicate that feature-based methods perform as accurately as
current state-of-the-art TSC algorithms, and thus should rightfully be
considered further in the TSC literature.
",,7,0.642835796,feedback_adjusted,
What are novel techniques for feature engineering in time series data?,"What are novel techniques for feature engineering in time series data? - Time series decomposition
- Seasonality detection
- Rolling window analysis
- Lagged variables
- Autoregressive models
- Cross-correlation
- Wavelet transforms
- Frequency domain analysis",Feature-based time-series analysis,"  This work presents an introduction to feature-based time-series analysis. The
time series as a data type is first described, along with an overview of the
interdisciplinary time-series analysis literature. I then summarize the range
of feature-based representations for time series that have been developed to
aid interpretable insights into time-series structure. Particular emphasis is
given to emerging research that facilitates wide comparison of feature-based
representations that allow us to understand the properties of a time-series
dataset that make it suited to a particular feature-based representation or
analysis algorithm. The future of time-series analysis is likely to embrace
approaches that exploit machine learning methods to partially automate human
learning to aid understanding of the complex dynamical patterns in the time
series we measure from the world.
",,5.333333333,0.658790827,feedback_adjusted,
How can GANs (Generative Adversarial Networks) improve image resolution?,"How can GANs (Generative Adversarial Networks) improve image resolution? - Deep learning
- Super-resolution
- Neural networks
- Computer vision
- Image processing
- Convolutional neural networks
- Machine learning",Generative Adversarial Networks for Image Super-Resolution: A Survey,"  Single image super-resolution (SISR) has played an important role in the
field of image processing. Recent generative adversarial networks (GANs) can
achieve excellent results on low-resolution images with small samples. However,
there are little literatures summarizing different GANs in SISR. In this paper,
we conduct a comparative study of GANs from different perspectives. We first
take a look at developments of GANs. Second, we present popular architectures
for GANs in big and small samples for image applications. Then, we analyze
motivations, implementations and differences of GANs based optimization methods
and discriminative learning for image super-resolution in terms of supervised,
semi-supervised and unsupervised manners. Next, we compare performance of these
popular GANs on public datasets via quantitative and qualitative analysis in
SISR. Finally, we highlight challenges of GANs and potential research points
for SISR.
",9,9.333333333,0.728315413,overlap,
How can GANs (Generative Adversarial Networks) improve image resolution?,"How can GANs (Generative Adversarial Networks) improve image resolution? - Deep learning
- Super-resolution
- Neural networks
- Image processing
- Machine learning
- Convolutional neural networks
- Data augmentation","A General Method to Incorporate Spatial Information into Loss Functions
  for GAN-based Super-resolution Models","  Generative Adversarial Networks (GANs) have shown great performance on
super-resolution problems since they can generate more visually realistic
images and video frames. However, these models often introduce side effects
into the outputs, such as unexpected artifacts and noises. To reduce these
artifacts and enhance the perceptual quality of the results, in this paper, we
propose a general method that can be effectively used in most GAN-based
super-resolution (SR) models by introducing essential spatial information into
the training process. We extract spatial information from the input data and
incorporate it into the training loss, making the corresponding loss a
spatially adaptive (SA) one. After that, we utilize it to guide the training
process. We will show that the proposed approach is independent of the methods
used to extract the spatial information and independent of the SR tasks and
models. This method consistently guides the training process towards generating
visually pleasing SR images and video frames, substantially mitigating
artifacts and noise, ultimately leading to enhanced perceptual quality.
",9,9,0.732697487,overlap,
How can GANs (Generative Adversarial Networks) improve image resolution?,"How can GANs (Generative Adversarial Networks) improve image resolution? - Artificial intelligence
- Deep learning
- Super-resolution
- Neural networks
- Computer vision","A Generative Model for Hallucinating Diverse Versions of Super
  Resolution Images","  Traditionally, the main focus of image super-resolution techniques is on
recovering the most likely high-quality images from low-quality images, using a
one-to-one low- to high-resolution mapping. Proceeding that way, we ignore the
fact that there are generally many valid versions of high-resolution images
that map to a given low-resolution image. We are tackling in this work the
problem of obtaining different high-resolution versions from the same
low-resolution image using Generative Adversarial Models. Our learning approach
makes use of high frequencies available in the training high-resolution images
for preserving and exploring in an unsupervised manner the structural
information available within these images. Experimental results on the CelebA
dataset confirm the effectiveness of the proposed method, which allows the
generation of both realistic and diverse high-resolution images from
low-resolution images.
",7,9.333333333,0.702885151,overlap,
How can GANs (Generative Adversarial Networks) improve image resolution?,"How can GANs (Generative Adversarial Networks) improve image resolution? - super-resolution
- deep learning
- neural networks
- image enhancement
- computer vision
- data augmentation
- training techniques",Infrared Image Super-Resolution via GAN,"  The ability of generative models to accurately fit data distributions has
resulted in their widespread adoption and success in fields such as computer
vision and natural language processing. In this chapter, we provide a brief
overview of the application of generative models in the domain of infrared (IR)
image super-resolution, including a discussion of the various challenges and
adversarial training methods employed. We propose potential areas for further
investigation and advancement in the application of generative models for IR
image super-resolution.
",9.666666667,8.333333333,0.648041368,overlap,
How can GANs (Generative Adversarial Networks) improve image resolution?,"How can GANs (Generative Adversarial Networks) improve image resolution? - Super-resolution
- Deep learning
- Image enhancement
- Neural networks
- Computer vision
- Image processing",Image-Adaptive GAN based Reconstruction,"  In the recent years, there has been a significant improvement in the quality
of samples produced by (deep) generative models such as variational
auto-encoders and generative adversarial networks. However, the representation
capabilities of these methods still do not capture the full distribution for
complex classes of images, such as human faces. This deficiency has been
clearly observed in previous works that use pre-trained generative models to
solve imaging inverse problems. In this paper, we suggest to mitigate the
limited representation capabilities of generators by making them image-adaptive
and enforcing compliance of the restoration with the observations via
back-projections. We empirically demonstrate the advantages of our proposed
approach for image super-resolution and compressed sensing.
",7,,0.698257685,expanded,
How can GANs (Generative Adversarial Networks) improve image resolution?,"How can GANs (Generative Adversarial Networks) improve image resolution? - Deep learning
- Super resolution
- Neural networks
- Computer vision
- Image processing
- Machine learning
- Training algorithms","Details or Artifacts: A Locally Discriminative Learning Approach to
  Realistic Image Super-Resolution","  Single image super-resolution (SISR) with generative adversarial networks
(GAN) has recently attracted increasing attention due to its potentials to
generate rich details. However, the training of GAN is unstable, and it often
introduces many perceptually unpleasant artifacts along with the generated
details. In this paper, we demonstrate that it is possible to train a GAN-based
SISR model which can stably generate perceptually realistic details while
inhibiting visual artifacts. Based on the observation that the local statistics
(e.g., residual variance) of artifact areas are often different from the areas
of perceptually friendly details, we develop a framework to discriminate
between GAN-generated artifacts and realistic details, and consequently
generate an artifact map to regularize and stabilize the model training
process. Our proposed locally discriminative learning (LDL) method is simple
yet effective, which can be easily plugged in off-the-shelf SISR methods and
boost their performance. Experiments demonstrate that LDL outperforms the
state-of-the-art GAN based SISR methods, achieving not only higher
reconstruction accuracy but also superior perceptual quality on both synthetic
and real-world datasets. Codes and models are available at
https://github.com/csjliang/LDL.
",,9.333333333,0.693186402,feedback_adjusted,
What role does data augmentation play in small dataset training?,"What role does data augmentation play in small dataset training? - Image data
- Machine learning
- Deep learning
- Performance improvement
- Generalization
- Synthetic data
- Augmentation techniques
- Overfitting prevention",Smart Augmentation - Learning an Optimal Data Augmentation Strategy,"  A recurring problem faced when training neural networks is that there is
typically not enough data to maximize the generalization capability of deep
neural networks(DNN). There are many techniques to address this, including data
augmentation, dropout, and transfer learning. In this paper, we introduce an
additional method which we call Smart Augmentation and we show how to use it to
increase the accuracy and reduce overfitting on a target network. Smart
Augmentation works by creating a network that learns how to generate augmented
data during the training process of a target network in a way that reduces that
networks loss. This allows us to learn augmentations that minimize the error of
that network.
  Smart Augmentation has shown the potential to increase accuracy by
demonstrably significant measures on all datasets tested. In addition, it has
shown potential to achieve similar or improved performance levels with
significantly smaller network sizes in a number of tested cases.
",9.333333333,9.333333333,0.600948155,overlap,
What role does data augmentation play in small dataset training?,"What role does data augmentation play in small dataset training? - Machine learning
- Augmented data
- Data preprocessing
- Model performance
- Generalization
- Training techniques","How Much Data Are Augmentations Worth? An Investigation into Scaling
  Laws, Invariance, and Implicit Regularization","  Despite the clear performance benefits of data augmentations, little is known
about why they are so effective. In this paper, we disentangle several key
mechanisms through which data augmentations operate. Establishing an exchange
rate between augmented and additional real data, we find that in
out-of-distribution testing scenarios, augmentations which yield samples that
are diverse, but inconsistent with the data distribution can be even more
valuable than additional training data. Moreover, we find that data
augmentations which encourage invariances can be more valuable than invariance
alone, especially on small and medium sized training sets. Following this
observation, we show that augmentations induce additional stochasticity during
training, effectively flattening the loss landscape.
",9,9,0.66949445,overlap,
What role does data augmentation play in small dataset training?,"What role does data augmentation play in small dataset training? - Machine learning
- Image recognition
- Deep learning
- Data preprocessing
- Overfitting
- Performance improvement
- Algorithm enhancement",Further advantages of data augmentation on convolutional neural networks,"  Data augmentation is a popular technique largely used to enhance the training
of convolutional neural networks. Although many of its benefits are well known
by deep learning researchers and practitioners, its implicit regularization
effects, as compared to popular explicit regularization techniques, such as
weight decay and dropout, remain largely unstudied. As a matter of fact,
convolutional neural networks for image object classification are typically
trained with both data augmentation and explicit regularization, assuming the
benefits of all techniques are complementary. In this paper, we systematically
analyze these techniques through ablation studies of different network
architectures trained with different amounts of training data. Our results
unveil a largely ignored advantage of data augmentation: networks trained with
just data augmentation more easily adapt to different architectures and amount
of training data, as opposed to weight decay and dropout, which require
specific fine-tuning of their hyperparameters.
",8.333333333,,0.632378042,expanded,
What role does data augmentation play in small dataset training?,"What role does data augmentation play in small dataset training? - Machine learning
- Image classification
- Deep learning
- Transfer learning
- Performance improvement",Research Trends and Applications of Data Augmentation Algorithms,"  In the Machine Learning research community, there is a consensus regarding
the relationship between model complexity and the required amount of data and
computation power. In real world applications, these computational requirements
are not always available, motivating research on regularization methods. In
addition, current and past research have shown that simpler classification
algorithms can reach state-of-the-art performance on computer vision tasks
given a robust method to artificially augment the training dataset. Because of
this, data augmentation techniques became a popular research topic in recent
years. However, existing data augmentation methods are generally less
transferable than other regularization methods. In this paper we identify the
main areas of application of data augmentation algorithms, the types of
algorithms used, significant research trends, their progression over time and
research gaps in data augmentation literature. To do this, the related
literature was collected through the Scopus database. Its analysis was done
following network science, text mining and exploratory analysis approaches. We
expect readers to understand the potential of data augmentation, as well as
identify future research directions and open questions within data augmentation
research.
",8,,0.644701898,expanded,
What role does data augmentation play in small dataset training?,"What role does data augmentation play in small dataset training? - Machine learning 
- Image processing 
- Deep learning 
- Augmented data 
- Generalization 
- Overfitting 
- Training performance",Data Augmentation as Feature Manipulation,"  Data augmentation is a cornerstone of the machine learning pipeline, yet its
theoretical underpinnings remain unclear. Is it merely a way to artificially
augment the data set size? Or is it about encouraging the model to satisfy
certain invariance? In this work we consider another angle, and we study the
effect of data augmentation on the dynamic of the learning process. We find
that data augmentation can alter the relative importance of various features,
effectively making certain informative but hard to learn features more likely
to be captured in the learning process. Importantly, we show that this effect
is more pronounced for non-linear models, such as neural networks. Our main
contribution is a detailed analysis of data augmentation on the learning
dynamic for a two layer convolutional neural network in the recently proposed
multi-view data model by Allen-Zhu and Li [2020]. We complement this analysis
with further experimental evidence that data augmentation can be viewed as
feature manipulation.
",7.333333333,,0.65788722,expanded,
